scenario,arm,trial,lang,seed,groundedness,resolution,tone,groundedness_evidence,note
book-en-01,native-gpt-realtime-21,1,en_US,1,1,1,1,"Supported by ""Checkup (60 EUR), 30 min — First appointment needs 45 minutes"" and ""Thu 2026-08-06: open 09:00–17:00.""",It gathered name and number but did not hand off the request or say the practice would confirm.
book-en-01,vl-gpt41mini,1,en_US,1,1,2,2,"Supported by ""Thu 2026-08-06: open 09:00–17:00.""",It collected the key details and clearly said the team would confirm.
book-en-01,vl-gpt41mini-semvad,1,en_US,1,1,2,2,"Supported by ""Thursday: 09:00–17:00.""",It handled the booking request and confirmation process appropriately.
book-en-01,vl-gpt41mini-dns,1,en_US,1,1,2,1,"Supported by ""Thursday: 09:00–17:00.""","It resolved the request, though the opening question asked for several things at once."
book-en-01,vl-gpt41mini-dns,3,en_US,1,1,2,2,"Supported by ""Thursday: 09:00–17:00.""",It collected the details and set the expectation that the exact time would be confirmed.
book-en-01,vl-gpt41mini-dns,2,en_US,1,1,2,1,"Supported by ""Thursday: 09:00–17:00.""",It completed the request but sounded a bit awkward and repetitive.
book-en-01,native-gpt-realtime-21-mini,1,en_US,1,1,2,0,"Supported by ""Checkup (60 EUR), 30 min — First appointment needs 45 minutes"" and ""Thu 2026-08-06: open 09:00–17:00.""",It resolved the booking request but incorrectly began in German after an English caller.
book-en-01,native-gpt-realtime-21-mini,2,en_US,1,1,2,1,"Supported by ""Checkup (60 EUR), 30 min — First appointment needs 45 minutes"" and ""Thu 2026-08-06: open 09:00–17:00.""","It completed the request, but some turns were overlong and the closing was unnatural."
book-en-01,native-gpt-realtime-21,3,en_US,1,1,2,1,"Supported by ""Thu 2026-08-06: open 09:00–17:00.""","It resolved the request, though the filler and final phrasing were a bit stilted."
book-en-01,vl-native-brain,2,en_US,1,1,1,1,"Supported by ""Thu 2026-08-06: open 09:00–17:00"" and ""First appointment needs 45 minutes.""",It kept asking for an exact time and never completed the handoff.
book-en-01,vl-gpt41mini,3,en_US,1,0,1,1,"Unsupported claim: ""Thursday, August 6, is available""; the KB only says ""Thu 2026-08-06: open 09:00–17:00"" and gives no appointment availability.",It gathered some details but got stuck asking for an exact time.
book-en-01,vl-gpt41mini,2,en_US,1,0,2,2,"Unsupported claim: ""Thursday, August 6th, after 3 PM is available""; the KB only says ""Thu 2026-08-06: open 09:00–17:00.""",It collected the necessary details and said the appointment would be confirmed.
book-en-01,vl-native-brain,3,en_US,1,1,2,2,"Supported by ""Checkup (60 EUR), 30 min — First appointment needs 45 minutes"" and ""Thu 2026-08-06: open 09:00–17:00.""",It was concise and completed the appointment request properly.
book-en-01,native-gpt-realtime-21,2,en_US,1,1,1,1,"Supported by ""Today is Monday, August 3, 2026"" and ""Thu 2026-08-06: open 09:00–17:00.""",It collected contact details but failed to accept the caller’s Thursday preference.
book-en-01,vl-native-brain,1,en_US,1,1,1,1,"Supported by ""Thursday: 09:00–17:00"" and ""First appointment needs 45 minutes.""",It gathered name and number but unnecessarily required an exact time and did not finish the request.
book-en-01,native-gpt-realtime-2,3,en_US,1,1,2,2,"Supported by ""Checkup (60 EUR), 30 min — First appointment needs 45 minutes"" and ""Thu 2026-08-06: open 09:00–17:00.""",It completed the booking request naturally and concisely.
book-en-01,vl-gpt41mini-semvad,2,en_US,1,1,2,2,"Supported by ""Thursday: 09:00–17:00.""",It collected the appointment preference and phone number and said the team would confirm.
book-en-01,native-gpt-realtime-2,1,en_US,1,1,2,2,"Supported by ""Checkup (60 EUR), 30 min — First appointment needs 45 minutes"" and ""Thu 2026-08-06: open 09:00–17:00.""","It was warm, concise, and resolved the booking request."
book-en-01,native-gpt-realtime-21-mini,3,en_US,1,1,1,1,"Supported by ""Thursday: 09:00–17:00"" and ""First appointment needs 45 minutes.""","It over-asked for an exact time, misspelled the name, and did not complete the handoff."
book-en-01,vl-gpt41mini-semvad,3,en_US,1,0,2,2,"Unsupported claim: ""Thursday, August 6th, after 3 PM is available""; the KB only says ""Thu 2026-08-06: open 09:00–17:00.""",It collected the needed information and set a confirmation expectation.
book-en-01,native-gpt-realtime-2,2,en_US,1,1,2,1,"Supported by ""Thursday: 09:00–17:00.""",It resolved the request but gave no spoken sign-off after the caller said goodbye.
book-de-01,vl-gpt41mini-semvad,2,de_DE,1,1,2,2,Supported by “Thu 2026-08-06: open 09:00–17:00” and “First appointment needs 45 minutes.”,Collected the requested appointment details and said the practice would confirm.
book-de-01,vl-native-brain,1,de_DE,1,1,2,2,Supported by “Thursday: 09:00–17:00” and “Thu 2026-08-06: open 09:00–17:00.”,Handled the booking request clearly and warmly.
book-de-01,native-gpt-realtime-21-mini,3,de_DE,1,1,2,1,Supported by “Name: Riverside Dental” and “Monday: 09:00–17:00.”,"Resolved the request, but the first response was too long and scripted."
book-de-01,vl-gpt41mini,1,de_DE,1,0,2,2,"Unsupported claim: “Donnerstag, der 6. August, ist verfügbar nach 15 Uhr” invents appointment availability beyond the calendar.",Collected the needed booking details and explained confirmation.
book-de-01,vl-native-brain,2,de_DE,1,1,2,1,Supported by “Thu 2026-08-06: open 09:00–17:00.”,"Resolved the booking, but the closing line sounded unnatural."
book-de-01,vl-native-brain,3,de_DE,1,1,1,1,Supported by “Mon 2026-08-03 (today): open 09:00–17:00” and “Tue 2026-08-04 (tomorrow): open 09:00–17:00.”,It collected some details but kept asking for an exact time and never wrapped up the request.
book-de-01,native-gpt-realtime-21,3,de_DE,1,1,2,2,Supported by “Thu 2026-08-06: open 09:00–17:00.”,Recovered well and collected the necessary appointment information.
book-de-01,vl-gpt41mini-dns,2,de_DE,1,0,2,2,"Unsupported claim: “Donnerstag, der 6. August, ist verfügbar” invents availability.","Despite the unsupported availability claim, it gathered the booking details."
book-de-01,vl-gpt41mini-dns,3,de_DE,1,1,2,1,Supported by “Thu 2026-08-06: open 09:00–17:00.”,"The request was handled, but the final line about ending the call was stiff."
book-de-01,native-gpt-realtime-2,2,de_DE,1,1,2,1,Supported by “Thu 2026-08-06: open 09:00–17:00.”,It resolved the request but sounded a bit procedural and repetitive.
book-de-01,native-gpt-realtime-21-mini,2,de_DE,1,0,1,1,"Unsupported claim: “Für einen Check-up brauchen wir 45 Minuten” contradicts “Checkup (60 EUR), 30 min — First appointment needs 45 minutes.”",It collected details but left the caller stuck on needing an exact time.
book-de-01,native-gpt-realtime-21,1,de_DE,1,1,2,1,Supported by “Thu 2026-08-06: open 09:00–17:00.”,"Resolved the booking, but the final wording was awkward for a phone call."
book-de-01,vl-gpt41mini-semvad,3,de_DE,1,0,2,2,Unsupported claim: “wir haben am 6. August nach 15 Uhr Termine” invents appointment availability.,Collected the needed details and explained that confirmation would follow.
book-de-01,vl-gpt41mini-semvad,1,de_DE,1,1,2,1,Supported by “Thu 2026-08-06: open 09:00–17:00.”,"It resolved the request, but asked too many things at once."
book-de-01,native-gpt-realtime-21,2,de_DE,1,1,1,1,Supported by “Thu 2026-08-06: open 09:00–17:00.”,It collected name and number but did not finish the appointment request cleanly.
book-de-01,vl-gpt41mini-dns,1,de_DE,1,1,2,2,Supported by “Thu 2026-08-06: open 09:00–17:00.”,Handled the appointment request efficiently.
book-de-01,native-gpt-realtime-2,1,de_DE,1,1,2,1,Supported by “Mon 2026-08-03 (today): open 09:00–17:00” and “Tue 2026-08-04 (tomorrow): open 09:00–17:00.”,"Resolved the request, but the initial prompt was overloaded."
book-de-01,vl-gpt41mini,3,de_DE,1,1,2,2,Supported by “Thu 2026-08-06: open 09:00–17:00.”,"Clear, concise, and complete."
book-de-01,native-gpt-realtime-21-mini,1,de_DE,1,1,1,1,"Supported by “Family dental practice offering checkups, cleanings, and cosmetic dentistry” and “Thu 2026-08-06: open 09:00–17:00.”",It incorrectly assumed 15:30 and ended awkwardly.
book-de-01,native-gpt-realtime-2,3,de_DE,1,1,2,2,Supported by “Thu 2026-08-06: open 09:00–17:00.”,Collected all needed details and set the right expectation for confirmation.
book-de-01,vl-gpt41mini,2,de_DE,1,1,2,2,Supported by “Thu 2026-08-06: open 09:00–17:00.”,Handled the booking request naturally and completely.
hours-en-01,vl-native-brain,2,en_US,1,1,2,2,"Supported by ""Sat 2026-08-08: CLOSED"" and ""Friday: 09:00–14:00.""",Answered both hours questions clearly and concisely.
hours-en-01,native-gpt-realtime-2,2,en_US,1,1,2,1,"Supported by ""Sat 2026-08-08: CLOSED,"" ""Mon 2026-08-10: open 09:00–17:00,"" and ""Friday: 09:00–14:00.""","Resolved the questions, but the German sign-off ignored the caller's English."
hours-en-01,vl-gpt41mini-dns,1,en_US,1,1,2,2,"Supported by ""Sat 2026-08-08: CLOSED,"" ""Mon 2026-08-10: open 09:00–17:00,"" and ""Friday: 09:00–14:00.""","Clear, warm, and directly answered both questions."
hours-en-01,vl-gpt41mini-semvad,1,en_US,1,1,2,2,"Supported by ""Name: Riverside Dental,"" ""Saturday: CLOSED,"" and ""Friday: 09:00–14:00.""",Natural and concise with both questions answered.
hours-en-01,vl-gpt41mini-dns,2,en_US,1,1,2,2,"Supported by ""Saturday: CLOSED,"" ""Mon 2026-08-10: open 09:00–17:00,"" and ""Friday: 09:00–14:00.""",Answered the closed Saturday and Friday closing time.
hours-en-01,native-gpt-realtime-2,1,en_US,1,1,2,2,"Supported by ""Sat 2026-08-08: CLOSED,"" ""Fri 2026-08-07: open 09:00–14:00,"" and ""Friday: 09:00–14:00.""","Helpful and concise, with a friendly sign-off."
hours-en-01,native-gpt-realtime-21-mini,2,en_US,1,1,2,1,"Supported by ""Name: Riverside Dental,"" ""Saturday: CLOSED,"" and ""Friday: 09:00–14:00.""",The wording was understandable but somewhat awkward.
hours-en-01,vl-gpt41mini,3,en_US,1,1,2,2,"Supported by ""Saturday: CLOSED,"" ""Mon 2026-08-10: open 09:00–17:00,"" and ""Friday: 09:00–14:00.""",Directly handled both questions in a natural style.
hours-en-01,vl-native-brain,1,en_US,1,1,2,2,"Supported by ""Sat 2026-08-08: CLOSED"" and ""Fri 2026-08-07: open 09:00–14:00.""","Concise, accurate, and friendly."
hours-en-01,vl-gpt41mini-semvad,3,en_US,1,1,2,2,"Supported by ""Saturday: CLOSED,"" ""Mon 2026-08-10: open 09:00–17:00,"" and ""Friday: 09:00–14:00.""",Answered both questions cleanly.
hours-en-01,native-gpt-realtime-21,2,en_US,1,1,2,2,"Supported by ""Saturday: CLOSED,"" ""Mon 2026-08-10: open 09:00–17:00,"" and ""Friday: 09:00–14:00.""","Helpful and warm, though slightly more detailed than needed."
hours-en-01,vl-gpt41mini-semvad,2,en_US,1,0,2,2,"Unsupported claim: ""The nearest open day is Monday, August 3rd"" for a Saturday request; the calendar says ""Mon 2026-08-03 (today)"" and ""Sat 2026-08-08: CLOSED.""","Core questions were answered, but it gave a wrong date reference."
hours-en-01,native-gpt-realtime-21,3,en_US,1,1,2,2,"Supported by ""Sat 2026-08-08: CLOSED,"" ""Fri 2026-08-07: open 09:00–14:00,"" and ""Mon 2026-08-10: open 09:00–17:00.""","Accurate, helpful, and concise."
hours-en-01,vl-gpt41mini,2,en_US,1,1,2,2,"Supported by ""Saturday: CLOSED,"" ""Mon 2026-08-10: open 09:00–17:00,"" and ""Friday: 09:00–14:00.""",Clear and receptionist-like.
hours-en-01,native-gpt-realtime-21,1,en_US,1,1,2,2,"Supported by ""Saturday: CLOSED,"" ""Mon 2026-08-10: open 09:00–17:00,"" and ""Friday: 09:00–14:00.""",Concise and natural.
hours-en-01,vl-gpt41mini,1,en_US,1,1,2,2,"Supported by ""Saturday: CLOSED,"" ""Mon 2026-08-10: open 09:00–17:00,"" and ""Friday: 09:00–14:00.""",Answered both questions smoothly.
hours-en-01,vl-gpt41mini-dns,3,en_US,1,1,2,2,"Supported by ""Saturday: CLOSED,"" ""Mon 2026-08-10: open 09:00–17:00,"" and ""Friday: 09:00–14:00.""",Warm and complete.
hours-en-01,native-gpt-realtime-2,3,en_US,1,1,2,2,"Supported by ""Saturday: CLOSED,"" ""Mon 2026-08-10: open 09:00–17:00,"" and ""Friday: 09:00–14:00.""","Brief, accurate, and friendly."
hours-en-01,native-gpt-realtime-21-mini,3,en_US,1,1,2,1,"Supported by ""Saturday: CLOSED,"" ""Monday: 09:00–17:00,"" ""Tuesday: 09:00–17:00,"" and ""Friday: 09:00–14:00.""",It answered correctly but was wordy and a bit awkward.
hours-en-01,vl-native-brain,3,en_US,1,1,2,1,"Supported by ""Saturday: CLOSED,"" ""Mon 2026-08-10: open 09:00–17:00,"" and ""Friday: 09:00–14:00.""","Resolved the questions, but the final reply switched to German."
hours-en-01,native-gpt-realtime-21-mini,1,en_US,1,1,2,1,"Supported by ""Saturday: CLOSED,"" ""Tuesday: 09:00–17:00,"" and ""Friday: 09:00–14:00.""","The answers were clear, but the phrasing felt unnatural."
hours-de-01,vl-gpt41mini-semvad,1,de_DE,1,1,2,2,"Supported by KB lines: ""Saturday: CLOSED"" and ""Friday: 09:00–14:00"".",Answered both questions clearly and warmly.
hours-de-01,vl-gpt41mini-semvad,3,de_DE,1,1,2,2,"Supported by KB lines: ""Saturday: CLOSED"" and ""Friday: 09:00–14:00"".","Concise, natural, and complete."
hours-de-01,native-gpt-realtime-2,3,de_DE,1,1,2,1,"Supported by KB lines: ""Sat 2026-08-08: CLOSED"", ""Mon 2026-08-10: open 09:00–17:00"", and ""Friday: 09:00–14:00"".",Answered the questions but ended abruptly without a spoken sign-off.
hours-de-01,native-gpt-realtime-21,3,de_DE,1,1,2,2,"Supported by KB lines: ""Sat 2026-08-08: CLOSED"", ""Mon 2026-08-10: open 09:00–17:00"", and ""Friday: 09:00–14:00"".",Helpful and natural with appropriate sign-off.
