scenario,arm,trial,lang,seed,groundedness,resolution,tone,groundedness_evidence,note
book-en-01,vl-gpt41mini,1,en_US,1,1,2,2,"Supported by CALENDAR: ""Thu 2026-08-06: open 09:00–17:00.""",Collected the booking details and said the team would confirm.
book-en-01,vl-gpt41mini-dns,3,en_US,1,1,2,2,"Supported by CALENDAR: ""Thu 2026-08-06: open 09:00–17:00.""",Handled the request and gathered the needed details.
book-en-01,vl-native-brain,2,en_US,1,1,1,2,"Supported by CALENDAR: ""Thu 2026-08-06: open 09:00–17:00"" and SERVICES: ""Checkup (60 EUR), 30 min — First appointment needs 45 minutes.""",It gathered name and number but kept asking for an exact time instead of accepting the stated preference.
book-en-01,vl-gpt41mini-semvad,3,en_US,1,0,2,2,"Unsupported claim: ""Thursday, August 6th, after 3 PM is available"" asserts appointment availability beyond the calendar hours.",It collected the key details and said the appointment would be confirmed.
book-en-01,vl-gpt41mini,2,en_US,1,0,2,2,"Unsupported claim: ""Thursday, August 6th, after 3 PM is available"" asserts appointment availability beyond the calendar hours.",It gathered the necessary booking request details.
book-en-01,native-gpt-realtime-2,2,en_US,1,1,2,1,"Supported by CALENDAR: ""Thu 2026-08-06: open 09:00–17:00.""","Resolved the request, though the two back-to-back agent turns were a bit unnatural."
book-en-01,vl-gpt41mini-dns,1,en_US,1,1,2,1,"Supported by CALENDAR: ""Thu 2026-08-06: open 09:00–17:00.""",It completed the task but asked too many things at once.
book-en-01,vl-gpt41mini-semvad,2,en_US,1,1,2,2,"Supported by CALENDAR: ""Thu 2026-08-06: open 09:00–17:00.""",Warm and concise while collecting the needed information.
book-en-01,vl-native-brain,1,en_US,1,1,1,1,"Supported by CALENDAR: ""Thu 2026-08-06: open 09:00–17:00"" and SERVICES: ""Checkup (60 EUR), 30 min — First appointment needs 45 minutes.""",It collected contact details but stalled on requiring an exact time.
book-en-01,vl-gpt41mini-semvad,1,en_US,1,1,2,2,"Supported by NAME: ""Riverside Dental"" and CALENDAR: ""Thu 2026-08-06: open 09:00–17:00.""",Collected the booking request details and set the expectation of confirmation.
book-en-01,native-gpt-realtime-2,3,en_US,1,1,2,2,"Supported by CALENDAR: ""Thu 2026-08-06: open 09:00–17:00"" and SERVICES: ""Checkup (60 EUR), 30 min — First appointment needs 45 minutes.""","Clear, natural, and completed the booking request."
book-en-01,vl-gpt41mini-dns,2,en_US,1,1,2,2,"Supported by CALENDAR: ""Thu 2026-08-06: open 09:00–17:00.""",Efficiently gathered the needed details and said confirmation would follow.
book-en-01,vl-gpt41mini,3,en_US,1,0,1,1,"Unsupported claim: ""Thursday, August 6, is available"" asserts appointment availability beyond the calendar hours.",It repeatedly asked for an exact time and never completed the request.
book-en-01,native-gpt-realtime-2,1,en_US,1,1,2,2,"Supported by CALENDAR: ""Thu 2026-08-06: open 09:00–17:00"" and SERVICES: ""Checkup (60 EUR), 30 min — First appointment needs 45 minutes.""",It gathered the details and clearly framed it as a request to be confirmed.
book-en-01,vl-native-brain,3,en_US,1,1,2,2,"Supported by CALENDAR: ""Thu 2026-08-06: open 09:00–17:00"" and SERVICES: ""Checkup (60 EUR), 30 min — First appointment needs 45 minutes.""",Completed the request and gave a friendly sign-off.
